Rubric,Description
Abandoned,Feeling of being left alone without help
Forsaken,Feeling of being left alone without help
Deserted,Feeling of being left alone when most needed
Abashed,To strike with shame
Abrupt,"Unexpectedly sudden, rude"
Absent minded,In attention of mind
Abstraction of mind,"A destructive symptom, something in the mind has been lost"
Absurd,"Ridiculously unsuitable , foolish"
Abusive,Habit of employing harsh insulting languages as a routine.
Cursing,Is due to some provocation by somebody or some provocative ideas
Acuteness,Sharpness and keenness of mind
Adaptability loss of,Very difficult to adjust to the surroundings
Admiration,A high degree of pleasure
Admonition,Aggravation from gentle advice
Adulterous,Sexual intercourse with a female other than his lawful wife
Affability,The quality of being pleasant and at ease in talking to others
Affectation,Artificial behavior designed to impress others
Affectionate,Affection beyond normal limit which may be cause of concern
Afraid,Filled with fear and apprehension
Agility mental,The quality of being quick in answering and resourceful
Agitation,Inviting public attention to a controversial matter or issues.
Agony,Intense pain of mind and body
Agoraphobia,Abnormal fear in open place
Air castle,Making theories which may not be practicable
Alert,"Vigilantly attentive, quick"
Alienated,Indifference to those formerly attached
Aloof,"Reserved, keeping distance in social relations"
Amativeness,A disposition to love with sexual desire
Ambitious,An ardent desire for rank and power
Amorous,An intense desire for love especially sexual. Practical indulgence in sex is not necessary.
Lasciviousness,Person is much more attracted towards sexual thoughts and act.
Amnesia,A gap in one's memory
Amusement,Desire to play or entertainment
Anarchist,One who rebel against anything or ruling power
Anger,A strong feeling of displeasure and usually of antagonism
Anguish,Anxiety with physical sufferings
Animation,"State of being full of life, jest and vigor"
Anorexia nervosa & mentalis,A forceful unwillingness to eat
Antagonism,Actively expressed opposition or contradiction
Anthropophobia,fear of men
Anticipation,Anxiety for a good thing Eg. At the time of marriage
Anguish,Anxiety with physical sufferings
Anxiety,Anxiety have no definite cause
Fear,Has a definite cause.
Apprehension,Fear with an element of doubt & expectation of something unpleasant to happen
Antics,A childish or foolish act
Antisocial,Opposed to the principles of the society
Apathy,want of feeling emotion or interest
Aphasia,Loss of power of speech due to a brain lesion
Appreciation longs for,Desire to get approval gratitude or good opinion
Approached,Drawing near of others aggravates
Ardent,Extremely eager enthusiastic devoted faithful person
Arguing,Giving reason to believe or evidence
Argumentative,"Controversial, given to disputation"
Arrogance,A feeling of superiority manifested in an overbearing manner
Haughty,There is an excessive claim over something in comparison to others.
Astonished,Struck with sudden surprise
Attached,Bound by personal ties
Attended to be,A desire for observant consideration or regards
Attitudes,"A disposition, feeling of emotion towards a state or position of body"
Audacity,"A negative boldness. Daring boldness with assurance, too much self confidence"
BOLDNESS,"Fearless before danger, assured and confident"
Daring,Recklessly bold.
Presumptuous,Bold and over confident
High spirited,"A bold, energetic feeling despite being placed in tense situation"
Impertinence,Rude with out respect
Insolent,Lack of respect
Temerity,Rash & overconfident
Automatic,A complete lack of coordination between will & muscles
Automatism,automatic action
Avarice,An excessive insatiable desire for wealth and gain even though he is having enough of it.
Covetous,"Desire to posses something, which belongs to others."
Miserly,A great desire to save money even from occasions where it is considered necessary to spend.
Aversion,A firmly settled and vehement dislike.
Hatred,A settled dislike with prejudiced feeling for a particular person or aspect.
Disgust,An intense dislike for something after repeated failures.
Misanthropy,Hatred from the whole mankind.
Awareness heightened,Delusionary state in which he gathers an accurate impression of his own internal organs - a transparency feeling
Awkward,"Lack in social favour, skill or kindness"
Bad parts take everything,Offended easily
Bad temper,Easily angered nature
Bargaining,"Negotiating over the terms of a purchase, where the rates are not fixed"
Barking,"speaking in a loud, curt and angry tone"
Bashful,Inclined to shrink from public attention due to shyness
Battles talk about,"During the course of sickness, person always talk about battles"
Beating,To hit sharply in a fit of anger
Beautiful things,Everything looks beautiful even rags
Begging,to ask earnestly or submissively
Benevolence,Tendency to do charitable and generous acts
Benumbed,Inactive in his mental faculties like perception understanding etc.
Bereavement,Loss of death of relatives or friends
Besides one self being,"A state of extreme excitement ,deep personalization"
Bewildered,"A state of confusion, lack of power to distinguish with certainty"
Confusion,Where individual is generally all right. But whenever he sits for doing some calculation work he  gets confused
Bilious disposition,A peevish ill natured disposition
Biting,An altered mental state of a person who desire to bite
Blames himself,To hold oneself responsible for facts or errors
Blasphemy,Irreverence towards something considered sacred
Blindness pretending,A deliberate and knowing attempt to post oneself as blind
Blissful feeling,Complete happiness
Blushing,Red glow on the skin caused by modesty or shame
Boaster,Person speak quite high of himself with much pride
Boredom,Weary with dissatisfaction or tediousness
Brain fag,prostration of mind
Brooding,"means, being occupied with things in the present"
Dwell,means being occupied with things in the past
Absorbed,An intellectual mental rubric. As in great scientists like Edison
Brotherhood sensation of,"Belongs to brother, unification"
Brutality,"The state or quality of being grossly ruthless, cruel and cold blooded."
Cruelty,Lower grade than brutality.
Malicious,"Person generally in the habit of making plans to harm others ,will fully involved commission of wrong."
